id,subject,content,options,correct_answer,explanation,habilidad,difficulty,created_at,active,area_tematica,tema,subtema
"M2_003","M2","¿Cuál es el valor de sen 30°?","{""a"":""1/4"",""b"":""1/3"",""c"":""1/2"",""d"":""2/3""}","c","El seno de 30° es igual a 1/2, este es uno de los valores trigonométricos fundamentales","undefined","1","2025-03-22T18:07:00.845970","true","undefined","undefined","undefined"
"M2_004","M2","En una urna hay 5 bolas rojas y 3 azules. Si se extraen dos bolas sin reposición, ¿cuál es la probabilidad de que ambas sean del mismo color?","{""a"":""1/4"",""b"":""1/3"",""c"":""1/2"",""d"":""2/3""}","c","P(RR) = (5/8)(4/7) = 20/56, P(AA) = (3/8)(2/7) = 6/56. P(mismo color) = 26/56 ≈ 1/2","undefined","1","2025-03-22T18:07:00.845971","true","undefined","undefined","undefined"
"M2_005","M2","¿Cuál es la solución de la ecuación x² - 5x + 6 = 0?","{""a"":""x = 2 y x = 3"",""b"":""x = -2 y x = -3"",""c"":""x = 1 y x = 4"",""d"":""x = -1 y x = -4""}","a","Usando la fórmula cuadrática o factorizando: (x-2)(x-3)=0, por lo tanto x = 2 o x = 3","undefined","1","2025-03-22T18:07:00.845972","true","undefined","undefined","undefined"
"M2_006","M2","¿Cuál es el valor de log₂ 8?","{""a"":""2"",""b"":""3"",""c"":""4"",""d"":""8""}","b","log₂ 8 = 3 porque 2³ = 8","undefined","1","2025-03-22T18:07:00.845973","true","undefined","undefined","undefined"
"M2_007","M2","En un triángulo rectángulo, si sen θ = 0.6, ¿cuál es el valor de cos θ?","{""a"":""0.6"",""b"":""0.8"",""c"":""0.5"",""d"":""0.4""}","b","Por el teorema de Pitágoras: sen²θ + cos²θ = 1, entonces cos²θ = 1 - 0.6² = 0.64, por lo tanto cos θ = 0.8","undefined","1","2025-03-22T18:07:00.845974","true","undefined","undefined","undefined"
"M2_008","M2","¿Cuál es la probabilidad de obtener suma 7 al lanzar dos dados?","{""a"":""1/6"",""b"":""5/36"",""c"":""1/12"",""d"":""1/9""}","a","Los casos favorables son (1,6), (2,5), (3,4), (4,3), (5,2), (6,1), total 6 casos de 36 posibles = 1/6","undefined","1","2025-03-22T18:07:00.845975","true","undefined","undefined","undefined"
"M2_009","M2","¿Cuál es el área de un hexágono regular de lado 4 cm?","{""a"":""24√3 cm²"",""b"":""36√3 cm²"",""c"":""48√3 cm²"",""d"":""60√3 cm²""}","a","El área de un hexágono regular es (3√3/2)a², donde a es el lado. Por lo tanto, A = (3√3/2)(16) = 24√3 cm²","undefined","1","2025-03-22T18:07:00.845976","true","undefined","undefined","undefined"
"M2_010","M2","¿Cuál es la solución del sistema de ecuaciones: x + y = 5, 2x - y = 4?","{""a"":""x = 3, y = 2"",""b"":""x = 2, y = 3"",""c"":""x = 4, y = 1"",""d"":""x = 1, y = 4""}","a","Sumando las ecuaciones: 3x = 9, entonces x = 3. Sustituyendo en x + y = 5: 3 + y = 5, entonces y = 2","undefined","1","2025-03-22T18:07:00.845977","true","undefined","undefined","undefined"
"M2_011","M2","Si f(x) = x² - 4x + 3, ¿cuál es el vértice de la parábola?","{""a"":""(2, -1)"",""b"":""(2, 1)"",""c"":""(-2, -1)"",""d"":""(-2, 1)""}","a","El vértice se encuentra en x = -b/(2a) = -(-4)/(2(1)) = 2. Evaluando f(2) = 4 - 8 + 3 = -1, por lo tanto el vértice es (2, -1)","undefined","1","2025-03-22T18:07:00.845978","true","undefined","undefined","undefined"
"M2_012","M2","¿Cuál es el valor de cos 60°?","{""a"":""1/2"",""b"":""√3/2"",""c"":""1/√2"",""d"":""1/√3""}","a","El coseno de 60° es igual a 1/2, este es uno de los valores trigonométricos fundamentales","undefined","1","2025-03-22T18:07:00.845979","true","undefined","undefined","undefined"
