id,subject,content,options,correct_answer,explanation,habilidad,difficulty,created_at,active,area_tematica,tema,subtema
1263462e-c119-453f-9e13-5ea3fde8e393,L,"¿Cuál es el complemento directo en la oración ""María compró un libro en la tienda""?","{""a"": ""María"", ""b"": ""Un libro"", ""c"": ""En la tienda"", ""d"": ""Compró""}",b,"""Un libro"" es el complemento directo porque recibe directamente la acción del verbo comprar",Análisis sintáctico,2,2025-03-20 22:01:49.026535+00,true,Evaluar,Crítica del contenido,
22c0c4d0-6b54-42aa-9758-8b697a9f5e06,L,¿Cuál de las siguientes oraciones contiene un verbo en modo subjuntivo?,"{""a"": ""Juan come manzanas"", ""b"": ""Espero que llueva mañana"", ""c"": ""Vendré a tu casa"", ""d"": ""He terminado el trabajo""}",b,"""Que llueva"" está en modo subjuntivo, expresando un deseo o posibilidad",Gramática,2,2025-03-20 22:01:49.026535+00,true,Interpretar,Relaciones textuales,
39af9207-51b6-4d6c-a141-091ef15bd249,CF,¿Qué gas es el más abundante en la atmósfera terrestre?,"{""a"": ""Oxígeno"", ""b"": ""Dióxido de carbono"", ""c"": ""Nitrógeno"", ""d"": ""Hidrógeno""}",c,El nitrógeno constituye aproximadamente el 78% de la atmósfera terrestre,Física,1,2025-03-20 21:56:49.413223+00,true,Física,Mecánica,
3e206fdf-e2c9-4e13-acfc-06cf107b562c,CF,¿Cuál es el proceso por el cual las plantas producen su propio alimento?,"{""a"": ""Respiración"", ""b"": ""Fotosíntesis"", ""c"": ""Digestión"", ""d"": ""Fermentación""}",b,"La fotosíntesis es el proceso mediante el cual las plantas producen glucosa utilizando luz solar, agua y dióxido de carbono",Física,1,2025-03-20 21:56:49.413223+00,true,Física,Mecánica,
3f26a13d-499c-4ce5-b73d-75e480f441d1,L,"¿Qué tipo de narrador aparece en el fragmento ""Pedro pensaba que nadie lo entendía""?","{""a"": ""Narrador protagonista"", ""b"": ""Narrador testigo"", ""c"": ""Narrador omnisciente"", ""d"": ""Narrador objetivo""}",c,Es un narrador omnisciente porque conoce los pensamientos del personaje,Análisis sintáctico,2,2025-03-20 22:01:49.026535+00,true,Evaluar,Crítica del contenido,
41a5030f-2cd0-4dd7-9597-22497bc54824,M2,"Si se lanza un dado justo, ¿cuál es la probabilidad de obtener un número par?","{""a"": ""1/2"", ""b"": ""1/3"", ""c"": ""2/3"", ""d"": ""1/6""}",a,"Los números pares en un dado son 2, 4 y 6 (3 casos favorables) de un total de 6 posibilidades. Por lo tanto, P(par) = 3/6 = 1/2",Probabilidad,1,2025-03-20 21:55:19.022593+00,true,Probabilidad y Estadística,Probabilidad condicional,
464b4b03-1455-4de7-93e9-622c468acd31,M1,"Si f(x) = 2x² - 3x + 1, ¿cuál es el valor de f(2)?","{""a"": ""3"", ""b"": ""5"", ""c"": ""7"", ""d"": ""9""}",a,Reemplazamos x por 2: f(2) = 2(2)² - 3(2) + 1 = 2(4) - 6 + 1 = 8 - 6 + 1 = 3,Funciones,2,2025-03-20 22:01:07.262597+00,true,Álgebra y Funciones,Ecuaciones e inecuaciones de primer grado,
4ffb7ab6-857a-4b03-8961-426ab4399447,M2,"En un polígono regular de 8 lados, ¿cuánto mide cada ángulo interior?","{""a"": ""135°"", ""b"": ""140°"", ""c"": ""145°"", ""d"": ""150°""}",a,"Para un polígono de n lados, cada ángulo interior mide ((n-2)×180°)/n. Para n=8: ((8-2)×180°)/8 = (6×180°)/8 = 1080°/8 = 135°",Geometría,2,2025-03-20 21:55:19.022593+00,true,Geometría,Razones trigonométricas,
52acb96f-154a-4e0e-ba6d-ad7e107cc676,H,¿Qué fenómeno geográfico caracteriza principalmente a la Zona Central de Chile?,"{""a"": ""La Depresión Intermedia"", ""b"": ""El Altiplano"", ""c"": ""Los campos de hielo"", ""d"": ""Las pampas""}",a,La Depresión Intermedia o Valle Central es la característica geográfica más distintiva de la Zona Central de Chile,,1,2025-03-20 23:17:07.840262+00,true,Historia de Chile,,
58f3bf3a-3aa6-44a8-90b8-6ea6d51b9694,CF,¿Qué órgano del cuerpo humano produce la insulina?,"{""a"": ""Hígado"", ""b"": ""Riñón"", ""c"": ""Páncreas"", ""d"": ""Estómago""}",c,"El páncreas produce insulina, una hormona que regula los niveles de glucosa en la sangre",Física,2,2025-03-20 21:56:49.413223+00,true,Física,Mecánica,
5f4ee9e7-6ff7-43ba-a5e2-94a7a7afb50e,CF,¿Qué tipo de energía tiene un objeto en movimiento?,"{""a"": ""Potencial"", ""b"": ""Cinética"", ""c"": ""Térmica"", ""d"": ""Nuclear""}",b,La energía cinética es la energía que posee un cuerpo debido a su movimiento,Física,1,2025-03-20 21:56:49.413223+00,true,Física,Mecánica,
6eaf2b39-8c67-4041-8e4d-1de5fe62da76,H,¿Qué factor geográfico ha influido más en el desarrollo económico de Chile?,"{""a"": ""La Cordillera de los Andes"", ""b"": ""El Océano Pacífico"", ""c"": ""El Desierto de Atacama"", ""d"": ""Los recursos minerales""}",d,"Los recursos minerales, especialmente el cobre, han sido históricamente el principal motor del desarrollo económico chileno",,3,2025-03-20 23:17:07.840262+00,true,Historia de Chile,Desarrollo económico,Factores que afectan el mercado y su funcionamiento
713d95d0-02ee-400f-bd35-1735d5833ef2,CF,"¿Cuál es la ley de Newton que establece que ""a toda acción le corresponde una reacción igual y opuesta""?","{""a"": ""Primera ley"", ""b"": ""Segunda ley"", ""c"": ""Tercera ley"", ""d"": ""Cuarta ley""}",c,La tercera ley de Newton establece que por cada fuerza de acción existe una fuerza de reacción igual y opuesta,Física,2,2025-03-20 21:56:49.413223+00,true,Física,Mecánica,
7801298f-9018-43b9-8478-d862f41906a4,M1,"Si 2x + 3 = 11, ¿cuál es el valor de x?","{""a"": ""2"", ""b"": ""4"", ""c"": ""6"", ""d"": ""8""}",b,"Para resolver, restamos 3 de ambos lados: 2x = 8. Luego dividimos por 2: x = 4.",Álgebra,1,2025-03-20 22:01:07.262597+00,true,Álgebra y Funciones,Expresiones algebraicas,
785a9da3-2787-4976-88e3-85d58c6160eb,H,¿Cuál fue la principal consecuencia económica de la Guerra del Pacífico para Chile?,"{""a"": ""La obtención del monopolio del salitre"", ""b"": ""El desarrollo de la industria textil"", ""c"": ""La pérdida de territorios mineros"", ""d"": ""La crisis económica""}",a,"La Guerra del Pacífico permitió a Chile obtener el control de los territorios salitreros, convirtiéndose en el principal productor mundial",,2,2025-03-20 23:17:07.840262+00,true,Historia de Chile,,
